asset_id,asset_name,asset_type,created_at,creator,tool_or_model,tool_version,prompt_summary,reference_used,reference_source,output_path,modification_history,license,fab_listing_url,publisher_or_seller,license_snapshot_date,package_version,permitted_engine_scope,proof_of_purchase_path,reviewer_approval,commercial_use_allowed,credit_required,redistribution_allowed,training_data_restriction,rights_risk,adoption_state,final_reviewer,notes
fab-modular-ship-interior,Modular Ship Interior Environment,model,2026-05-25,Fab publisher,Fab,pending,External asset candidate only,yes,https://www.fab.com/listings/3209f936-17d5-4e7a-86fa-31f5adb0401f?lang=en,pending,none,Fab Standard candidate; verify before import,https://www.fab.com/listings/3209f936-17d5-4e7a-86fa-31f5adb0401f,andi475,2026-05-26,pending,Unreal Engine format; verify current listing scope,pending,pending,unknown,unknown,unknown,Fab listing AI flags reviewed; re-check before import,low,candidate,pending,Rechecked 2026-05-26; first free ship-interior candidate; quarantine only
fab-scifi-rooms-corridors,Sci-fi Rooms and Corridors Interior Kit,model,2026-05-25,Fab publisher,Fab,pending,External asset candidate only,yes,https://www.fab.com/listings/f3e9c40d-a56f-4308-8a78-a1d4f0076f96,pending,none,Fab Standard candidate; verify before purchase/import,https://www.fab.com/listings/f3e9c40d-a56f-4308-8a78-a1d4f0076f96,Denys Rutkovskyi,2026-05-26,pending,Unreal Engine format; verify current listing scope,pending,pending,unknown,unknown,unknown,Fab listing AI flags reviewed; re-check before purchase,medium,candidate,pending,Rechecked 2026-05-26; paid fallback only after free ship POC; remove orbital cues
fab-spaceship-interior-set,Spaceship Interior Environment Set,model,2026-05-25,Fab publisher,Fab,pending,External asset candidate only,yes,https://www.fab.com/listings/e55bb035-8720-487f-8a36-4ce50d16f344?lang=en,pending,none,Fab Standard candidate; verify before purchase/import,https://www.fab.com/listings/e55bb035-8720-487f-8a36-4ce50d16f344,Denys Rutkovskyi,2026-05-26,pending,Unreal Engine format; verify current listing scope,pending,pending,unknown,unknown,unknown,Fab listing AI flags reviewed; re-check before purchase,medium,candidate,pending,Rechecked 2026-05-26; backup interior candidate; use hard-surface pieces only
fab-arctic-settlement-kit,Plan V: Arctic Settlement Kit,model,2026-05-25,Fab publisher,Fab,pending,External asset candidate only,yes,https://www.fab.com/listings/df9c51e3-61e5-4893-8dd7-b7e7bd1a6051?lang=fr,pending,none,Fab Standard candidate; verify before purchase/import,https://www.fab.com/listings/df9c51e3-61e5-4893-8dd7-b7e7bd1a6051,Plan V,2026-05-26,pending,Unreal Engine format; verify current listing scope,pending,pending,unknown,unknown,unknown,Fab listing AI flags reviewed; re-check before purchase,medium,candidate,pending,Rechecked 2026-05-26; exterior deck candidate only; avoid village and wooden identity
fab-metahuman-winter-clothing,Metahuman Winter Clothing Pack,model,2026-05-25,Fab publisher,Fab,pending,External asset candidate only,yes,https://www.fab.com/listings/f57c877b-7939-41fd-a789-2e18eaa53fd8,pending,none,Fab Standard candidate; verify before purchase/import,https://www.fab.com/listings/f57c877b-7939-41fd-a789-2e18eaa53fd8,Bagira,2026-05-26,pending,Unreal Engine format; verify MetaHuman and project skeleton scope,pending,pending,unknown,unknown,unknown,Fab listing AI flags reviewed; re-check before purchase,high,candidate,pending,Rechecked 2026-05-26; defer character clothing until map POC and human proof
fab-military-winter-jacket-101,Military Winter Jacket 101,model,2026-05-25,Fab publisher,Fab,pending,External asset candidate only,yes,https://www.fab.com/listings/700406e8-44fd-4fff-813c-397bda1df282,pending,none,Fab Standard candidate; verify before purchase/import,https://www.fab.com/listings/700406e8-44fd-4fff-813c-397bda1df282,Nice Pictures,2026-05-26,pending,Unreal Engine and MetaHuman/UE5 skeleton format; verify current listing scope,pending,pending,unknown,unknown,unknown,Fab listing AI flags reviewed; re-check before purchase,high,candidate,pending,Rechecked 2026-05-26; defer tactical clothing; watch 4K texture and military-tone risk
ambientcg-diamondplate009,Diamond Plate 009,texture,2026-05-28,ambientCG,ambientCG API v2,pending,CC0 material candidate for ship deck and corridor floor,yes,https://ambientcg.com/a/DiamondPlate009,Content/ThirdParty/Quarantine/ambientCG/DiamondPlate009/,none,CC0 1.0 Universal,,ambientCG,2026-05-28,pending,Engine agnostic texture material,Saved/AssetProof/ambientcg-free-materials/,pending,yes,no,yes,none,low,candidate,pending,Free CC0 material candidate for visual POC floor dressing
ambientcg-paintedmetal004,Painted Metal 004,texture,2026-05-28,ambientCG,ambientCG API v2,pending,CC0 material candidate for warning paint and utility panels,yes,https://ambientcg.com/a/PaintedMetal004,Content/ThirdParty/Quarantine/ambientCG/PaintedMetal004/,none,CC0 1.0 Universal,,ambientCG,2026-05-28,pending,Engine agnostic texture material,Saved/AssetProof/ambientcg-free-materials/,pending,yes,no,yes,none,low,candidate,pending,Free CC0 material candidate for hazard and panel dressing
ambientcg-metalwalkway014,Metal Walkway 014,texture,2026-05-28,ambientCG,ambientCG API v2,pending,CC0 material candidate for worn racks and industrial walkway surfaces,yes,https://ambientcg.com/a/MetalWalkway014,Content/ThirdParty/Quarantine/ambientCG/MetalWalkway014/,none,CC0 1.0 Universal,,ambientCG,2026-05-28,pending,Engine agnostic texture material,Saved/AssetProof/ambientcg-free-materials/,pending,yes,no,yes,none,low,candidate,pending,Free CC0 material candidate for rusty machinery and service bay dressing
ambientcg-snow015,Snow 015,texture,2026-05-28,ambientCG,ambientCG API v2,pending,CC0 material candidate for exterior ice deck snow,yes,https://ambientcg.com/a/Snow015,Content/ThirdParty/Quarantine/ambientCG/Snow015/,none,CC0 1.0 Universal,,ambientCG,2026-05-28,pending,Engine agnostic texture material,Saved/AssetProof/ambientcg-free-materials/,pending,yes,no,yes,none,low,candidate,pending,Free CC0 material candidate for snow and exterior deck dressing
ambientcg-ice003,Ice 003,texture,2026-05-28,ambientCG,ambientCG API v2,pending,CC0 material candidate for frosted windows and ice patches,yes,https://ambientcg.com/a/Ice003,Content/ThirdParty/Quarantine/ambientCG/Ice003/,none,CC0 1.0 Universal,,ambientCG,2026-05-28,pending,Engine agnostic texture material,Saved/AssetProof/ambientcg-free-materials/,pending,yes,no,yes,none,low,candidate,pending,Free CC0 material candidate for ice and frozen glass dressing
polyhaven-hdri-blaubeuren-outskirts,Blaubeuren Outskirts (overcast HDRI),hdri,2026-05-29,Poly Haven,Poly Haven API,1k,CC0 overcast sky HDRI for polar lighting and IBL,yes,https://polyhaven.com/a/blaubeuren_outskirts,Content/ThirdParty/Quarantine/polyhaven/hdri/blaubeuren_outskirts_1k.hdr,none,CC0 1.0 Universal,,Poly Haven,2026-05-29,1k,Engine agnostic HDRI,Content/ThirdParty/Quarantine/polyhaven/polyhaven-cc0-provenance.json,pending,yes,no,yes,none,low,candidate,pending,Free CC0 HDRI for sky and image-based lighting
polyhaven-barrel-01,Barrel 01 (industrial drum),model,2026-05-29,Poly Haven,Poly Haven API,1k,CC0 industrial barrel prop for ship dressing,yes,https://polyhaven.com/a/Barrel_01,Content/ThirdParty/Quarantine/polyhaven/models/Barrel_01/,none,CC0 1.0 Universal,,Poly Haven,2026-05-29,1k,Engine agnostic fbx model,Content/ThirdParty/Quarantine/polyhaven/polyhaven-cc0-provenance.json,pending,yes,no,yes,none,low,candidate,pending,Free CC0 prop for playable scene dressing
polyhaven-barrel-02,Barrel 02 (industrial drum),model,2026-05-29,Poly Haven,Poly Haven API,1k,CC0 industrial barrel prop for ship dressing,yes,https://polyhaven.com/a/Barrel_02,Content/ThirdParty/Quarantine/polyhaven/models/Barrel_02/,none,CC0 1.0 Universal,,Poly Haven,2026-05-29,1k,Engine agnostic fbx model,Content/ThirdParty/Quarantine/polyhaven/polyhaven-cc0-provenance.json,pending,yes,no,yes,none,low,candidate,pending,Free CC0 prop for playable scene dressing
polyhaven-cardboard-box-01,Cardboard Box 01 (supply crate),model,2026-05-29,Poly Haven,Poly Haven API,1k,CC0 supply box prop for ship dressing,yes,https://polyhaven.com/a/cardboard_box_01,Content/ThirdParty/Quarantine/polyhaven/models/cardboard_box_01/,none,CC0 1.0 Universal,,Poly Haven,2026-05-29,1k,Engine agnostic fbx model,Content/ThirdParty/Quarantine/polyhaven/polyhaven-cc0-provenance.json,pending,yes,no,yes,none,low,candidate,pending,Free CC0 prop for playable scene dressing
polyhaven-can-rusted,Can Rusted (fuel can),model,2026-05-29,Poly Haven,Poly Haven API,1k,CC0 rusted can prop for ship dressing,yes,https://polyhaven.com/a/can_rusted,Content/ThirdParty/Quarantine/polyhaven/models/can_rusted/,none,CC0 1.0 Universal,,Poly Haven,2026-05-29,1k,Engine agnostic fbx model,Content/ThirdParty/Quarantine/polyhaven/polyhaven-cc0-provenance.json,pending,yes,no,yes,none,low,candidate,pending,Free CC0 prop for playable scene dressing
polyhaven-lantern-01,Lantern 01 (work lamp),model,2026-05-29,Poly Haven,Poly Haven API,1k,CC0 lantern prop for ship dressing,yes,https://polyhaven.com/a/Lantern_01,Content/ThirdParty/Quarantine/polyhaven/models/Lantern_01/,none,CC0 1.0 Universal,,Poly Haven,2026-05-29,1k,Engine agnostic fbx model,Content/ThirdParty/Quarantine/polyhaven/polyhaven-cc0-provenance.json,pending,yes,no,yes,none,low,candidate,pending,Free CC0 prop for playable scene dressing
noto-sans-jp-ofl,Noto Sans JP (Japanese UI font),font,2026-05-29,Google / Adobe (Noto CJK / Source Han Sans),manual fetch (google/fonts),variable wght,CJK glyph coverage for Japanese UI to avoid tofu,no,https://github.com/google/fonts/tree/main/ofl/notosansjp,Content/ThirdParty/Quarantine/fonts/notosansjp/,none,SIL Open Font License 1.1,,Google / Adobe,2026-05-29,variable wght,Engine agnostic TTF font,Content/ThirdParty/Quarantine/fonts/noto-cjk-ofl-provenance.json,pending,yes,no,yes,none,low,candidate,pending,OFL-1.1; OFL.txt ships alongside; Reserved Font Name 'Source' and 'Noto' - do not ship modified under those names; .ttf gitignored - re-fetch via Tools/assets/fetch_noto_cjk_ofl.ps1
noto-sans-sc-ofl,Noto Sans SC (Simplified Chinese UI font),font,2026-05-29,Google / Adobe (Noto CJK / Source Han Sans),manual fetch (google/fonts),variable wght,CJK glyph coverage for Simplified Chinese UI to avoid tofu,no,https://github.com/google/fonts/tree/main/ofl/notosanssc,Content/ThirdParty/Quarantine/fonts/notosanssc/,none,SIL Open Font License 1.1,,Google / Adobe,2026-05-29,variable wght,Engine agnostic TTF font,Content/ThirdParty/Quarantine/fonts/noto-cjk-ofl-provenance.json,pending,yes,no,yes,none,low,candidate,pending,OFL-1.1; OFL.txt ships alongside; Reserved Font Name 'Source' and 'Noto' - do not ship modified under those names; .ttf gitignored - re-fetch via Tools/assets/fetch_noto_cjk_ofl.ps1
